0.989015 0.0111641 0.401742 0.972931
1.90624 0.337608 0.719256 0.68414
2.8023 0.67245 1.30832 0.930361
3.75789 0.770323 1.69848 0.496917
4.68858 0.94374 2.2095 0.35204
5.40678 1.56419 2.39877 2.02943
6.21129 2.10145 3.19167 1.06496
6.95388 2.75327 3.53264 1.58191
7.8147 3.22912 4.39502 0.937615
8.64862 3.72604 4.92032 0.817358
9.51728 4.15722 5.06583 2.55918
10.3596 4.63759 5.76234 0.0308461
11.0819 5.31148 6.88872 2.03029
11.8555 5.95296 7.08281 2.71203
12.5904 6.65244 8.55072 1.35677
13.3975 7.2646 8.87245 2.31745
14.2248 7.85606 9.89462 0.764215
15.0217 8.49406 10.4955 3.16086
15.8468 9.10597 9.25593 5.62073
16.6281 9.78719 11.768 3.95539
17.6003 10.1945 11.0833 5.24427
18.6281 10.3978 12.7694 5.37573
19.6687 10.4801 13.4946 6.0148
20.668 10.8002 13.1428 6.42501
21.6155 11.2703 14.2473 7.42398
22.6803 11.372 15.0024 6.85172
23.7442 11.3383 16.5637 7.72479
24.8242 11.2851 16.5614 6.11628
25.8978 11.2312 18.4142 7.81552
26.9204 10.8273 19.4656 7.82816
27.8747 10.3132 20.5573 7.79291
28.7423 9.65707 20.351 4.28127
29.4062 8.77398 22.5633 7.13308
29.987 7.82897 22.7689 5.52242
30.6159 6.91718 24.2884 5.84163
31.3131 6.06065 25.9552 5.51819
32.1 5.29106 23.9273 4.12853
33.0389 4.74201 28.0054 4.8178
33.9876 4.22208 29.0548 5.07696
34.999 3.80508 28.2382 3.5499
35.9859 3.32728 31.1106 4.58766
36.9819 2.87387 31.6756 5.68032
38.0847 2.91059 32.1896 1.87265
39.1898 2.98121 34.6761 4.55044
40.2928 2.96785 35.47 3.18218
41.3551 3.2106 35.2352 1.59853
42.446 3.34394 36.4692 1.03593
43.5291 3.41693 37.7594 1.76165
44.6144 3.42001 37.1282 0.653362
45.7145 3.43149 39.1109 0.65762
46.802 3.33418 41.9349 1.70718
47.8719 3.06179 41.8554 0.379955
48.9646 2.86536 44.1159 0.801854
50.062 2.79442 44.7359 0.195264
51.1094 2.50798 45.6781 -0.252842
52.2051 2.63044 46.8838 0.989173
53.1009 3.27203 47.5058 3.15081
53.984 3.91515 48.6086 2.27756
55.0347 4.23845 50.7334 1.35459
56.0716 4.58385 50.1626 4.57221
57.1046 4.92276 52.3338 4.43054
58.0676 5.41389 52.6308 5.34059
59.0929 5.77916 54.8576 4.31424
